,Major,Degree_type,Early Career Pay,Mid Career Pay,% High Meaning,Field Type
291,Political Science,Bachelors,50700.0,94000.0,0.47,OTHER FIELDS
292,Real Estate Development,Bachelors,57100.0,94000.0,0.0,OTHER FIELDS
293,Social Ecology,Bachelors,49000.0,93700.0,0.0,OTHER FIELDS
294,Risk Management & Insurance,Bachelors,59500.0,93600.0,0.46,OTHER FIELDS
295,Radiation Therapy,Bachelors,68400.0,93400.0,0.9,OTHER FIELDS
296,French Literature,Bachelors,46400.0,93300.0,0.5,OTHER FIELDS
297,Occupational Therapy (OT),Bachelors,54100.0,93300.0,0.88,OTHER FIELDS
298,Advertising,Bachelors,47200.0,93200.0,0.32,OTHER FIELDS
299,Accounting,Bachelors,54800.0,93100.0,0.42,BUSINESS
300,Geology,Bachelors,50400.0,93000.0,0.54,OTHER FIELDS
301,Strategic Communication,Bachelors,47100.0,93000.0,0.42,OTHER FIELDS
302,Transportation & Logistics Management,Bachelors,57600.0,93000.0,0.48,OTHER FIELDS
303,Financial Accounting,Bachelors,56100.0,92900.0,0.51,BUSINESS
304,Cell & Molecular Biology,Bachelors,51900.0,92800.0,0.68,OTHER FIELDS
305,Industrial Safety,Bachelors,55200.0,92800.0,0.78,OTHER FIELDS
306,Insurance,Bachelors,56000.0,92800.0,0.43,OTHER FIELDS
307,Manufacturing Management,Bachelors,64000.0,92800.0,0.49,OTHER FIELDS
308,Networks & Telecommunications,Bachelors,54300.0,92800.0,0.56,OTHER FIELDS
309,Labor Studies,Bachelors,46600.0,92600.0,0.49,OTHER FIELDS
310,Digital Media Design,Bachelors,46700.0,92600.0,0.31,OTHER FIELDS
311,Advertising & Marketing Communications,Bachelors,48300.0,92600.0,0.36,OTHER FIELDS
312,Cinema Studies,Bachelors,47900.0,92500.0,0.33,OTHER FIELDS
313,Electronic & Computer Technology,Bachelors,63800.0,92500.0,0.58,OTHER FIELDS
314,Marketing Communication,Bachelors,45700.0,92500.0,0.39,OTHER FIELDS
315,Construction Technology,Bachelors,59100.0,92400.0,0.0,OTHER FIELDS
316,Architecture,Bachelors,51000.0,92300.0,0.53,OTHER FIELDS
317,Applied Statistics,Bachelors,65900.0,92200.0,0.47,STEM
318,Biological Sciences,Bachelors,49300.0,92100.0,0.66,OTHER FIELDS
319,Food Science,Bachelors,52500.0,92100.0,0.51,OTHER FIELDS
320,Urban & Regional Planning,Bachelors,51800.0,92100.0,0.6,OTHER FIELDS
321,Marketing Management,Bachelors,51300.0,92000.0,0.42,OTHER FIELDS
322,Computer & Network Administration,Bachelors,56800.0,91900.0,0.47,OTHER FIELDS
323,Applied Computer Science,Bachelors,66100.0,91800.0,0.44,STEM
324,Sales,Bachelors,61500.0,91600.0,0.44,OTHER FIELDS
325,Environmental Design,Bachelors,47700.0,91400.0,0.55,OTHER FIELDS
326,Hotel Management,Bachelors,49100.0,91400.0,0.44,OTHER FIELDS
327,Advertising Design,Bachelors,52700.0,91300.0,0.28,OTHER FIELDS
328,Digital Arts,Bachelors,45600.0,91300.0,0.35,OTHER FIELDS
329,Financial Management,Bachelors,54300.0,91300.0,0.54,OTHER FIELDS
330,Electronic Systems Technology (EST),Bachelors,81000.0,91200.0,0.0,OTHER FIELDS
331,Italian Language,Bachelors,51400.0,91100.0,0.43,OTHER FIELDS
332,German Studies,Bachelors,50000.0,91000.0,0.42,OTHER FIELDS
333,Quality Management,Bachelors,57400.0,90800.0,0.6,OTHER FIELDS
334,Microbiology,Bachelors,48400.0,90300.0,0.68,OTHER FIELDS
335,Entrepreneurship,Bachelors,54800.0,90300.0,0.47,OTHER FIELDS
336,Interactive Media,Bachelors,52700.0,90200.0,0.35,OTHER FIELDS
337,Global Business Management,Bachelors,55900.0,90200.0,0.52,BUSINESS
338,Network Systems Administration,Bachelors,57900.0,90200.0,0.5,OTHER FIELDS
339,Police Science,Bachelors,55400.0,90200.0,0.0,OTHER FIELDS
340,Hydrology,Bachelors,48700.0,90100.0,0.0,OTHER FIELDS
341,Business Data Analysis,Bachelors,64700.0,90000.0,0.36,BUSINESS
342,Database Management,Bachelors,65900.0,90000.0,0.0,OTHER FIELDS
343,Spanish Literature,Bachelors,51100.0,90000.0,0.5,OTHER FIELDS
344,Business Technology,Bachelors,52800.0,89900.0,0.42,BUSINESS
345,Business Management & Marketing,Bachelors,48900.0,89800.0,0.48,BUSINESS
346,Technical Management,Bachelors,64400.0,89700.0,0.62,OTHER FIELDS
347,Human Biology,Bachelors,51100.0,89600.0,0.7,OTHER FIELDS
348,Meteorology,Bachelors,46200.0,89500.0,0.57,OTHER FIELDS
349,Computer Graphics Technology (CGT),Bachelors,49000.0,89200.0,0.4,OTHER FIELDS
350,Urban Planning,Bachelors,50500.0,89200.0,0.53,OTHER FIELDS
351,Aviation Technology,Bachelors,58100.0,89100.0,0.49,OTHER FIELDS
